0.86, 1;2021-01-04;1
0.73, 2;2021-01-05;2
0.78, 3;2021-01-06;3
0.68, 4;2021-01-07;4
0.73, 5;2021-01-08;5
0.79, 6;2021-01-11;1
0.69, 7;2021-01-12;2
0.85, 8;2021-01-13;3
0.66, 9;2021-01-14;4
0.80, 10;2021-01-15;5
0.69, 11;2021-01-19;2
0.71, 12;2021-01-20;3
0.74, 13;2021-01-21;4
0.63, 14;2021-01-22;5
0.72, 15;2021-01-25;1
0.71, 16;2021-01-26;2
0.73, 17;2021-01-27;3
0.75, 18;2021-01-28;4
0.93, 19;2021-01-29;5
0.77, 20;2021-02-01;1
0.78, 21;2021-02-02;2
0.85, 22;2021-02-03;3
0.73, 23;2021-02-04;4
0.75, 24;2021-02-05;5
0.69, 25;2021-02-08;1
0.67, 26;2021-02-09;2
0.75, 27;2021-02-10;3
0.74, 28;2021-02-11;4
0.82, 29;2021-02-12;5
0.77, 30;2021-02-16;2
0.71, 31;2021-02-17;3
0.82, 32;2021-02-18;4
0.75, 33;2021-02-19;5
0.66, 34;2021-02-22;1
0.76, 35;2021-02-23;2
0.70, 36;2021-02-24;3
0.80, 37;2021-02-25;4
0.92, 38;2021-02-26;5
0.97, 39;2021-03-01;1
0.77, 40;2021-03-02;2
0.83, 41;2021-03-03;3
0.89, 42;2021-03-04;4
0.95, 43;2021-03-05;5
0.79, 44;2021-03-08;1
0.92, 45;2021-03-09;2
0.72, 46;2021-03-10;3
0.74, 47;2021-03-11;4
0.77, 48;2021-03-12;5
0.75, 49;2021-03-15;1
0.89, 50;2021-03-16;2
0.73, 51;2021-03-17;3
0.75, 52;2021-03-18;4
0.82, 53;2021-03-19;5
0.72, 54;2021-03-22;1
0.81, 55;2021-03-23;2
0.89, 56;2021-03-24;3
0.88, 57;2021-03-25;4
0.89, 58;2021-03-26;5
0.85, 59;2021-03-29;1
0.77, 60;2021-03-30;2
0.74, 61;2021-03-31;3
0.72, 62;2021-04-01;4
0.77, 63;2021-04-02;5
0.69, 64;2021-04-05;1
0.67, 65;2021-04-06;2
0.80, 66;2021-04-07;3
0.72, 67;2021-04-08;4
0.75, 68;2021-04-09;5
0.73, 69;2021-04-12;1
0.69, 70;2021-04-13;2
0.78, 71;2021-04-14;3
0.76, 72;2021-04-15;4
0.77, 73;2021-04-16;5
0.84, 74;2021-04-19;1
0.79, 75;2021-04-20;2
0.71, 76;2021-04-21;3
0.79, 77;2021-04-22;4
0.80, 78;2021-04-23;5
0.65, 79;2021-04-26;1
0.70, 80;2021-04-27;2
0.81, 81;2021-04-28;3
0.71, 82;2021-04-29;4
0.95, 83;2021-04-30;5
0.75, 84;2021-05-03;1
0.86, 85;2021-05-04;2
0.88, 86;2021-05-05;3
0.87, 87;2021-05-06;4
0.86, 88;2021-05-07;5
0.90, 89;2021-05-10;1
0.99, 90;2021-05-11;2
0.98, 91;2021-05-12;3
1.00, 92;2021-05-13;4
0.90, 93;2021-05-14;5
0.92, 94;2021-05-17;1
0.85, 95;2021-05-18;2
1.07, 96;2021-05-19;3
0.84, 97;2021-05-20;4
0.85, 98;2021-05-21;5
0.76, 99;2021-05-24;1
0.82, 100;2021-05-25;2
0.76, 101;2021-05-26;3
0.71, 102;2021-05-27;4
0.73, 103;2021-05-28;5
0.66, 104;2021-06-01;2
0.69, 105;2021-06-02;3
0.67, 106;2021-06-03;4
0.84, 107;2021-06-04;5
0.68, 108;2021-06-07;1
0.65, 109;2021-06-08;2
0.65, 110;2021-06-09;3
0.78, 111;2021-06-10;4
0.85, 112;2021-06-11;5
0.71, 113;2021-06-14;1
0.71, 114;2021-06-15;2
0.97, 115;2021-06-16;3
0.84, 116;2021-06-17;4
0.90, 117;2021-06-18;5
0.80, 118;2021-06-21;1
0.78, 119;2021-06-22;2
0.70, 120;2021-06-23;3
0.68, 121;2021-06-24;4
0.74, 122;2021-06-25;5
0.76, 123;2021-06-28;1
0.66, 124;2021-06-29;2
0.74, 125;2021-06-30;3
0.65, 126;2021-07-01;4
0.78, 127;2021-07-02;5
0.77, 128;2021-07-05;1
0.89, 129;2021-07-06;2
0.83, 130;2021-07-07;3
0.86, 131;2021-07-08;4
0.87, 132;2021-07-09;5
0.88, 133;2021-07-12;1
0.81, 134;2021-07-13;2
0.81, 135;2021-07-14;3
0.89, 136;2021-07-15;4
0.98, 137;2021-07-16;5
0.98, 138;2021-07-19;1
0.78, 139;2021-07-20;2
0.86, 140;2021-07-21;3
0.87, 141;2021-07-22;4
0.88, 142;2021-07-23;5
0.86, 143;2021-07-26;1
1.00, 144;2021-07-27;2
0.80, 145;2021-07-28;3
0.67, 146;2021-07-29;4
0.83, 147;2021-07-30;5
0.89, 148;2021-08-02;1
0.76, 149;2021-08-03;2
0.84, 150;2021-08-04;3
0.82, 151;2021-08-05;4
0.95, 152;2021-08-06;5
0.86, 153;2021-08-09;1
0.72, 154;2021-08-10;2
0.98, 155;2021-08-11;3
0.88, 156;2021-08-12;4
0.93, 157;2021-08-13;5
0.87, 158;2021-08-16;1
0.92, 159;2021-08-17;2
0.91, 160;2021-08-18;3
1.04, 161;2021-08-19;4
0.91, 162;2021-08-20;5
0.78, 163;2021-08-23;1
0.69, 164;2021-08-24;2
0.80, 165;2021-08-25;3
0.86, 166;2021-08-26;4
0.88, 167;2021-08-27;5
0.77, 168;2021-08-30;1
0.89, 169;2021-08-31;2
0.81, 170;2021-09-01;3
0.68, 171;2021-09-02;4
0.89, 172;2021-09-03;5
0.87, 173;2021-09-07;2
0.86, 174;2021-09-08;3
0.82, 175;2021-09-09;4
0.99, 176;2021-09-10;5
0.91, 177;2021-09-13;1
0.90, 178;2021-09-14;2
0.85, 179;2021-09-15;3
0.84, 180;2021-09-16;4
0.92, 181;2021-09-17;5
1.08, 182;2021-09-20;1
0.89, 183;2021-09-21;2
0.98, 184;2021-09-22;3
0.79, 185;2021-09-23;4
1.00, 186;2021-09-24;5
0.82, 187;2021-09-27;1
1.08, 188;2021-09-28;2
0.93, 189;2021-09-29;3
1.07, 190;2021-09-30;4
0.94, 191;2021-10-01;5
0.97, 192;2021-10-04;1
0.86, 193;2021-10-05;2
0.99, 194;2021-10-06;3
0.95, 195;2021-10-07;4
1.04, 196;2021-10-08;5
0.80, 197;2021-10-12;2
0.89, 198;2021-10-13;3
0.83, 199;2021-10-14;4
0.86, 200;2021-10-15;5
